Course Name,Course ID,Credit Count,Prerequisites
Financial Accounting,ACCT 200,3,"MATH 112 or MATH 115 or MATH 121 or MATH 130 or
MATH 181
ACCT 210 Managerial Accounting 3 credits
Preparation and analysis of cost-based management reports: use of cost
information to make short-term operating decisions and long-term
capital decisions"
"or MATH 115 or MATH 121 or MATH 130 or
MATH 181
ACCT 210 Managerial Accounting",MATH 112,3,"ACCT 200
ACCT 220 Accounting Cycle Applications 1 credit
This course provides extensive hands-on practice applying all steps
in the accounting cycle"
ACCT 300 Intermediate Financial Accounting I,ACCT 200,3,"ACCT 200
ACCT 300 Intermediate Financial Accounting I 3 credits
An in-depth analysis of financial accounting concepts and procedures,
and includes coverage of the income statement, balance sheet, time value
of money, receivables and inventories"
ACCT 301 Intermediate Financial Accounting II,ACCT 200,3,"ACCT 200
ACCT 301 Intermediate Financial Accounting II 3 credits
A continuation of Accounting 300"
ACCT 310 Management Accounting I,ACCT 300,3,"ACCT 300
ACCT 310 Management Accounting I 3 credits
Emphasizes product and service costing, including job order and process
costing systems"
ACCT 320 Accounting Analytics and Information Systems,ACCT 210,3,"ACCT 200, ACCT 210
ACCT 320 Accounting Analytics and Information Systems 3 credits
A discussion of various accounting information systems"
ACCT 398 CPT: Co-Operative Experience,ACCT 210,0,"ACCT 200, ACCT 210
ACCT 398 CPT: Co-Operative Experience 0 credits
Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and
an adjacent fall or spring term"
Advanced Financial Accounting,ACCT 400,3,Permission of the Chairperson of the department
ACCT 410 Business Income Tax,ACCT 301,3,"ACCT 301
ACCT 410 Business Income Tax 3 credits
The course examines the principles and procedures relating to the
determination and computation of federal income taxes for various
business entities including sole proprietorships, corporations,
partnerships and tax-exempt entities"
ACCT 421 Assurance Services I,ACCT 330,3,"ACCT 300, ACCT 330
ACCT 421 Assurance Services I 3 credits
An overview of the external audit process, the issues facing the auditing
profession today, and assurance services"
"Individual Study of Accounting 1-4 credits
Aging Studies
GERO 200 Family Dynamics of Aging",ACCT 499,3,"ACCT 300
ACCT 492 Study Tour 1-3 credits
Study tours are led by Minnesota State University, Mankato faculty
and provide students with opportunities to visit companies and
attend lectures by renowned experts from key sectors of economy,
government, and business"
CPT: Co-Operative Experience,GERO 398,0,At least 60 credits earned
Innovations in Aging Policy,GERO 450,3,"Consent
GERO 498 Practicum: Nursing Home Administration 1-6 credits
For students following plan of study for nursing home administration
licensure only"
Long-Term Care Administration,GERO 480,3,"by application and consent only
GERO 499 Individual Study in Gerontology 1-4 credits
The school and community health programs prepare health professionals
with expertise in health promotion and disease prevention for
employment in public health and community health agencies, health
care facilities, business, and industry and schools"
Long-Term Care Regulatory Management,GERO 487,3,At least 60 credits earned
Agronomy Selling Skills,AGBZ 110,3,"ANTH 101, ANTH 230, or instructor Permission"
Introduction to Agriculture Economics,AGBZ 111,3,"Consent
ANTH 300 Introduction to Anthropology Methods 4 credits
This course examines the methodologies of all four fields of
Anthropology"
Agronomy Finance Management,AGBZ 315,4,"ANTH 101
ANTH 311 Ancient Egypt 4 credits
An in-depth study of ancient Egypt, focusing on the relationship
between cultural development and the unique Egyptian environment of
the time"
Commodity Marketing Principles,AGBZ 340,3,"ANTH 101 or ANTH 220 or consent
ANTH 331 Environmental Anthropology 4 credits
This course focuses on studying the diversity of human societies using
environmental approaches such as evolutionary/ecological perspectives
and systems modeling"
Commodity Marketing Strategies,AGBZ 345,2,At least 60 credits earned
Agribusiness Transfer & Law,AGBZ 350,3,"ANTH 101, ANTH 210 or consent
ANTH 416 Archeological Methods 4 credits
An intensive exploration of how to identify, catalogue, and curate
archeological materials in a laboratory setting"
AgriBusiness Finance,AGBZ 370,3,"GEOG 101, ANTH 210"
Agricultural Technology Seminar,AGBZ 371,2,"ANTH 420
ANTH 424 Bioarchaeology 4 credits
Bioarchaeology focuses on the diet, health, and occupations of past
populations through the analysis of their skeletal remains"
Introduction to American Indigenous Studies,AIS 101,3,"ANTH 101, ANTH 230, or consent
ANTH 431 Applied Cultural Research 3 credits
This course introduces concepts and methods of applying sociocultural understanding to contemporary problems to bring about the
empowerment of affected people"
Elementary Ojibwe I,AIS 112,4,"ANTH 101, ANTH 230, or consent"
Elementary Ojibwe II,AIS 113,4,"ANTH 101, ANTH 230, or consent
ANTH 436W Anthropology of Aging 4 credits
A cross-cultural examination of the aging process, status, and treatment
of elders around the world"
Introduction to Indigenous Education,AIS 130,3,"ANTH 101, ANTH 230, or ANTH 220, or consent
ANTH 437 Applied Anthropology 4 credits
Examines the practical applications of anthropological knowledge to
problem-oriented research and the problems of directed sociocultural
change among contemporary populations"
Oral Traditions,AIS 210W,3,"ANTH 101, ANTH 230 or consent
ANTH 438W Anthropological Theory 4 credits
Examination of the intellectual history of anthropology from its
nineteenth century roots to today"
Native America to 1900,AIS 211,3,"ANTH 101, ANTH 220 or consent
ANTH 440 Native American Cultures of North America 4 credits
American Indians adapted to environmental systems in North America
with cultures ranging from small groups of foragers to cities supported
by intensive agriculture"
Native America 1900 to Present,AIS 212,3,"ANTH 300
ANTH 480 Fieldwork: Archaeology/Ethnology 3-6 credits
Field experience in which method and theory are learned through
participation in an ongoing field project"
Introduction to Tribal Sovereignty,AIS 220W,3,"Consent, or one of: ANTH 101, ANTH 102, or ANTH 220
ANTH 485 Topics in Anthropology 1-3 credits
This course allows faculty the flexibility to consider the challenges of new
developments in anthropology"
American Indians of Minnesota,AIS 230W,3,"Depends on topic and instructor
ANTH 491 Archaeology Laboratory 1-3 credits
An introduction to archaeological laboratory techniques and
museological practice, through participation in the various
processes involved"
American Indian Women,AIS 240W,3,"Consent
ANTH 493 Ethnology Lab 1-3 credits
Individual projects are done in close coordination with faculty member"
Selected Topics,AIS 275,3,"Consent
ANTH 494 Linguistic Lab 1-3 credits
Individual projects are done in close coordination with faculty member"
American Indian Leaders,AIS 300W,3,"Consent
ANTH 498 Internship: Teaching Anthropology 1-3 credits
Students will work with faculty in the preparation and delivery of course
materials in lower division undergraduate courses"
Indigenous Education,AIS 330,3,"Consent
www"
American Indians in Film,AIS 340,3,"AOS 301
AOS 492 Selected Topics 3 credits
Topics vary as announced in class schedule"
Indigenous Peoples and Environmental Struggles,AIS 360,3,"ART 110
ART 212 Life Drawing 3 credits
Experience in drawing from the human figure"
The Sacred Landscape,AIS 380,3,"ART 110
ART 220 Graphic Design I 3 credits
This course explores the basic principles of graphic design"
CPT: Co-Operative Experience,AIS 398,0,"ART 202
208 2024-2025 Undergraduate Catalog www"
Museum Science and Representation,AIS 455,3,"ART 100 or ART 101, ART 110 or consent
ART 245 Watercolor 3 credits
Introduction to basic techniques in watercolor"
Behaving Like Relatives,AIS 460,3,"ART 100 or ART 101, ART 110 or consent
ART 250 Ceramics: Beginning Wheel 3 credits
An introduction to basic wheel throwing techniques exploring the
potential of clay as a creative and expressive material"
Selected Topics,AIS 475,3,"ART 103 or consent
ART 285 Introduction to Installation 3 credits
This studio course familiarizes students with the basic concerns of
installation art, including relationship to site and audience"
Introduction to Anthropology,ANTH 101,4,"ART 103 or consent
ART 294 Topics 3 credits
Lecture/discussion/studio course on a selected area of discourse relating
to the study of Art History, Art Criticism, Art Education or Art Studio"
Ancient Peoples,ANTH 102,4,"ART 202
ART 304 Typography I 3 credits
This course investigates the use of letterforms in the message making
process"
Introduction to Archaeology,ANTH 210,4,"ART 202
ART 310 Drawing 3 credits
This course encourages experimental approaches that build on drawing
skills developed in ART 110 and ART 210"
Human Origins,ANTH 220,4,"ART 210
ART 320 Graphic Design II 3 credits
This course expands upon the beginning and intermediate design
experience"
Peoples and Cultures of the World,ANTH 230,4,"ART 220, ART 302, ART 304
www"
Language and Culture,ANTH 240,4,"ART 220, ART 302, ART 304
ART 340 Painting 3 credits
Intermediate painting"
The Social Life of Swearing,ANTH 245,4,"ART 240 or consent
ART 350 Intermediate Ceramics 3 credits
An intermediate course emphasizing personal exploration and creative
research relating to hand building, molding processes and/or the potter"
Portraits of Culture,ANTH 250W,4,"ART 250 or ART 251
ART 370 Printmaking: Intermediate Studio 3 credits
Continued exploration of intaglio, lithographic, relief and silk-screen
processes"
"Vampires, Werewolves, and Zombies: Folklore
of Fear",ANTH 260,4,"ART 270 or ART 271
ART 372 Digital Printmaking 3 credits
This is an intermediate course focusing exclusively on materials,
technique, processes, equipment, and safety in contemporary digital
printmaking processes"
"Taboos, Tattoos, and T-Shirts: Culture and
Body Art",ANTH 261,4,"ART 202, ART 271
ART 375 Intermediate Black and White Photography 3 credits
This intermediate course builds on basic knowledge learned in ART 275"
Anthropology of Sex,ANTH 269,4,"ART 275
ART 377 Intermediate Digital Photography 3 credits
This intermediate course builds on basic knowledge learned in ART
275"
Engaged Anthropology,ANTH 280,3,"ART 275
ART 378 Experimental Video 3 credits
Introduction to the techniques and expressive potential of digital video
as an art medium"
Introduction to Anthropology Methods,ANTH 300,4,"ART 280
ART 385 Intermediate Installation 3 credits
This studio course explores a wide range of material and conceptual
strategies to site-specific work"
ANTH 311 Ancient Egypt,ANTH 101,4,"ART 285 or consent
ART 391 Portfolio Review 0 credits
Required of all B"
Primate Behavior,ANTH 323,4,"ART 104
ART 392 Portfolio Review: Graphic Design 0 credits
Required of all B"
"or ANTH 220 or consent
ANTH 331 Environmental Anthropology",ANTH 101,4,"ART 220, ART 302, ART 304
ART 400 Graphic Design Special Topics 3-6 credits
This advanced course investigates design related topics in greater depth"
Anthropology of Religion,ANTH 332,4,"ART 392
ART 402 Motion Graphics 3 credits
This course is an advanced study of motion design"
Ethnographic Film,ANTH 333,3,"ARTR 392
ART 404 Typography II 3 credits
This course is an advanced study of typography"
People and Cultures of Sub-Saharan Africa,ANTH 335,4,"ART 220, ART 302, ART 304
ART 405 Self-Initiated Design Workshop 3 credits
This is an advanced-level course that aims to strengthen designers"
Language and Power,ANTH 340,4,"392
ART 406 Web Design I 3 credits
Concentrated study of front-end web design standards as it pertains to
typography, graphics, creativity, and strategic planning"
Business Anthropology,ANTH 360,4,"ART 220, ART 302, ART 304
210 2024-2025 Undergraduate Catalog www"
Foodways,ANTH 361,4,"ART 310
ART 417 Medieval Art and Architecture 3 credits
Introduction to art and architecture of Western Europe, the Byzantine
Empire, and the Islamic world, from the second to the fifteenth
centuries"
